City Name,Country,Region,CBD Location,,Land Cover Dates,,,Urban Extent Population,,,,Built-up Area Total  (ha),,,,Urban Built-up Area (ha),,,,Surburban Built-up Area (ha),,,,Rural Built-up Area  (ha),,,,Urbanized Open Space  (ha),,,,Urban Extent (ha),,,,Built-up Area Density (persons/ha),,,,Urban Extent Density (persons / ha),,,,Frgmentation: Saturation  (Built-up Area/Urban Extent),,,, Fragmentation: Openness index,,,,Compactness: Proximity index,,,,Compactness: Cohesion index,,,,Total Added Area (ha),,,Added Area: Infill (ha),,,,Added Area: Extension (ha),,,,Added Area: Leapfrog (ha),,,,Added Area: Inclusion (ha),,,,,
,,,Latitude,Longitude,T1,T2,T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1-T2,T2-T3,(T2-T3)/   (T1-T2),T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,,
"Jinan, Shandong",China,East Asia and the Pacific,36.682,117.020,9/1/91,9/1/00,7/1/13,"1,716,692","2,239,910","3,316,828",3.1%,"19,266","26,315","45,089",4.2%,"15,810","20,150","34,839",4.3%,"3,224","5,683","9,455",4.0%,232,482,794,3.9%,"7,238","11,943","20,999",4.4%,"26,504","38,258","66,087",4.3%,89,85,74,-1.1%,65,59,50,-1.2%,0.73,0.69,0.68,-0.1%,0.25,0.27,0.27,0.0%,0.81,0.81,0.79,-0.1%,0.80,0.80,0.79,-0.1%,"7,048","18,774", 2.7 ,"1,048",15%,"4,305",23%,"3,770",53%,"9,267",49%,174,2.5%,191,1.0%,"2,056",29%,"5,012",27%,,
Jinju,Korea Rep.,East Asia and the Pacific,35.187,128.107,4/1/88,4/1/00,5/1/14,"200,588","154,175","317,194",5.1%,"1,860","2,158","13,432",13.0%,"1,366","1,705","7,806",10.8%,454,419,"5,218",17.9%,40,34,408,17.6%,887,957,"9,958",16.6%,"2,746","3,115","23,390",14.3%,108,71,24,-7.9%,73,49,14,-9.2%,0.68,0.69,0.57,-1.3%,0.33,0.31,0.43,2.4%,0.75,0.77,0.60,-1.8%,0.75,0.77,0.59,-1.8%,302,"11,274", 37.3 ,165,55%,"1,397",12%,86,28%,"5,132",46%,0,0.0%,0,0.0%,51,17%,"4,744",42%,,
Johannesburg,South Africa,Sub-Saharan Africa,6.842,3.634,3/1/90,7/1/98,6/1/13,"3,148,133","4,726,764","8,000,159",3.5%,"76,333","92,826","181,191",4.5%,"52,246","66,200","157,588",5.8%,"22,565","24,950","22,225",-0.8%,"1,522","1,676","1,378",-1.3%,"64,462","71,273","81,377",0.9%,"140,795","164,099","262,568",3.2%,41,51,44,-1.0%,22,29,30,0.4%,0.54,0.57,0.69,1.3%,0.41,0.39,0.25,-3.0%,0.79,0.80,0.89,0.7%,0.77,0.79,0.87,0.6%,"16,694","88,587", 5.3 ,"6,041",36%,"38,191",43%,"5,679",34%,"37,553",42%,"1,013",6.1%,121,0.1%,"3,961",24%,"12,723",14%,,
Kabul,Afghanistan,South and Central Asia,34.529,69.172,11/1/87,8/1/00,9/1/14,"1,176,972","2,347,810","3,536,646",2.9%,"10,712","13,559","22,872",3.7%,"8,141","10,912","18,514",3.8%,"2,389","2,501","4,071",3.5%,183,146,287,4.8%,"6,499","6,909","11,537",3.6%,"17,212","20,468","34,409",3.7%,110,173,155,-0.8%,68,115,103,-0.8%,0.62,0.66,0.66,0.0%,0.34,0.30,0.28,-0.5%,0.81,0.83,0.80,-0.2%,0.80,0.82,0.79,-0.3%,"2,846","9,313", 3.3 ,"1,514",53%,"2,148",23%,863,30%,"5,747",62%,0,0.0%,53,0.6%,468,16%,"1,365",15%,,
"Kaiping, Guangdong",China,East Asia and the Pacific,22.380,112.688,4/1/90,9/1/00,11/1/14,"35,194","188,290","191,749",0.1%,137,"1,537","2,045",2.0%,4,803,"1,196",2.8%,126,682,797,1.1%,7,52,51,-0.2%,117,"1,090","1,183",0.6%,254,"2,627","3,227",1.5%,257,122,94,-1.9%,139,72,59,-1.3%,0.54,0.59,0.63,0.6%,0.62,0.47,0.43,-0.6%,0.72,0.87,0.86,-0.1%,0.71,0.86,0.84,-0.1%,"1,400",507, 0.4 ,88,6%,210,41%,942,67%,0,0%,0,0.0%,144,28.3%,370,26%,153,30%,,
Kairouan,Tunisia,Western Asia and North Africa,35.673,10.096,5/1/92,5/1/00,6/1/10,"85,809","105,892","127,570",1.8%,905,"1,367","1,661",1.9%,703,"1,137","1,555",3.1%,188,218,102,-7.6%,14,12,5,-9.9%,460,569,384,-3.9%,"1,365","1,936","2,044",0.5%,95,77,77,-0.1%,63,55,62,1.3%,0.66,0.71,0.81,1.4%,0.32,0.27,0.18,-3.8%,0.95,0.93,0.93,0.0%,0.94,0.92,0.92,0.0%,461,293, 0.6 ,143,31%,246,84%,275,60%,38,13%,0,0.0%,0,0.0%,43,9%,9,3%,,
Kampala,Uganda,Sub-Saharan Africa,0.315,32.585,3/1/88,2/1/03,2/1/15,"723,017","1,646,980","3,017,000",5.0%,"8,804","17,954","30,040",4.3%,"5,668","12,541","21,223",4.4%,"2,925","5,071","8,208",4.0%,211,342,610,4.8%,"7,688","12,744","21,280",4.3%,"16,492","30,698","51,321",4.3%,82,92,100,0.8%,44,54,59,0.8%,0.53,0.58,0.59,0.0%,0.42,0.37,0.35,-0.3%,0.89,0.66,0.75,1.1%,0.87,0.63,0.72,1.1%,"9,150","12,090", 1.3 ,"3,329",36%,"3,641",30%,"2,584",28%,"4,999",41%,14,0.1%,38,0.3%,"3,223",35%,"3,413",28%,,
Kanpur,India,South and Central Asia,26.457,80.310,12/1/91,2/1/99,9/1/14,"2,101,131","2,521,488","2,795,714",0.7%,"7,970","11,071","14,405",1.7%,"6,294","9,265","11,826",1.6%,"1,553","1,660","2,374",2.3%,123,145,205,2.2%,"4,515","4,901","6,263",1.6%,"12,485","15,971","20,667",1.7%,264,228,194,-1.0%,168,158,135,-1.0%,0.64,0.69,0.70,0.0%,0.31,0.25,0.25,0.0%,0.86,0.84,0.82,-0.2%,0.85,0.82,0.80,-0.2%,"3,101","3,333", 1.1 ,"1,443",47%,"1,026",31%,"1,085",35%,"1,328",40%,23,0.8%,122,3.7%,549,18%,857,26%,,
Karachi,Pakistan,South and Central Asia,24.900,67.075,2/1/91,10/1/00,10/1/13,"5,736,359","9,973,619","12,787,536",1.9%,"18,058","27,536","35,018",1.8%,"16,675","25,475","31,400",1.6%,"1,295","1,940","3,360",4.2%,88,120,257,5.9%,"4,277","6,591","10,309",3.4%,"22,335","34,127","45,327",2.2%,318,362,365,0.1%,257,292,282,-0.3%,0.81,0.81,0.77,-0.3%,0.17,0.16,0.18,0.7%,0.93,0.83,0.87,0.3%,0.91,0.83,0.86,0.2%,"9,478","7,482", 0.8 ,"1,400",15%,"1,992",27%,"1,216",13%,"5,030",67%,503,5.3%,0,0.0%,"6,359",67%,459,6%,,
Kaunas,Lithuania,Europe and Japan,54.903,23.925,8/1/90,9/1/00,3/1/14,"402,490","369,085","298,743",-1.6%,"6,126","6,908","8,090",1.2%,"4,630","5,693","6,479",1.0%,"1,421","1,124","1,479",2.0%,76,92,132,2.7%,"3,398","3,148","4,064",1.9%,"9,524","10,056","12,154",1.4%,66,53,37,-2.7%,42,37,25,-3.0%,0.64,0.69,0.67,-0.2%,0.35,0.30,0.31,0.2%,0.84,0.83,0.81,-0.2%,0.81,0.82,0.79,-0.2%,828,"1,181", 1.4 ,609,74%,227,19%,107,13%,201,17%,10,1.2%,0,0.0%,101,12%,753,64%,,
Kayseri,Turkey,Western Asia and North Africa,38.724,35.480,10/1/87,6/1/00,8/1/13,"131,605","444,740","673,805",3.2%,608,"5,155","10,054",5.1%,206,"3,220","6,611",5.5%,371,"1,818","3,185",4.3%,32,118,257,5.9%,849,"3,941","7,774",5.2%,"1,458","9,097","17,828",5.1%,216,86,67,-1.9%,90,49,38,-2.0%,0.42,0.57,0.56,0.0%,0.57,0.43,0.39,-0.8%,0.76,0.69,0.73,0.5%,0.75,0.67,0.72,0.6%,"4,546","4,898", 1.1 ,570,13%,"1,012",21%,"2,967",65%,"3,012",62%,0,0.0%,4,0.1%,"1,009",22%,870,18%,,
Khartoum,Sudan,Western Asia and North Africa,15.552,32.532,12/1/88,4/1/00,3/1/14,"1,253,183","1,844,695","5,061,792",7.3%,"12,889","16,955","58,271",8.9%,"7,992","12,290","52,682",10.5%,"4,712","4,493","5,283",1.2%,185,172,307,4.2%,"10,141","10,254","16,026",3.2%,"23,031","27,208","74,297",7.2%,97,109,87,-1.6%,54,68,68,0.0%,0.56,0.62,0.78,1.7%,0.39,0.26,0.18,-2.6%,0.75,0.78,0.76,-0.2%,0.75,0.78,0.74,-0.4%,"9,458","27,459", 2.9 ,"4,149",44%,"5,995",22%,"4,692",50%,"16,251",59%,260,2.8%,"2,398",8.7%,357,4%,"2,814",10%,,
Kigali,Rwanda,Sub-Saharan Africa,9.927,8.880,2/1/87,7/1/99,10/1/14,"211,150","422,776","821,881",4.4%,960,"3,937","8,272",4.9%,256,"3,105","5,987",4.3%,644,768,"2,092",6.6%,60,64,193,7.2%,"1,243","2,625","5,607",5.0%,"2,203","6,562","13,880",4.9%,220,107,99,-0.5%,96,64,59,-0.6%,0.44,0.60,0.60,0.0%,0.57,0.34,0.33,-0.2%,0.82,0.82,0.87,0.4%,0.81,0.81,0.86,0.3%,"2,976","4,335", 1.5 ,685,23%,"1,024",24%,"1,881",63%,"2,848",66%,0,0.0%,0,0.0%,410,14%,464,11%,,
Killeen,United States,Land-Rich Developed Countries,31.112,-97.732,8/1/90,5/1/00,8/1/13,"93,137","119,748","225,248",4.8%,"8,141","10,038","17,686",4.3%,"5,187","6,767","12,421",4.6%,"2,715","3,018","4,865",3.6%,239,252,400,3.5%,"6,574","7,523","12,880",4.1%,"14,716","17,561","30,566",4.2%,11,12,13,0.5%,6,7,7,0.6%,0.55,0.57,0.58,0.1%,0.40,0.39,0.38,-0.2%,0.81,0.86,0.82,-0.4%,0.79,0.84,0.80,-0.4%,"1,896","7,648", 4.0 ,698,37%,"1,351",18%,684,36%,"3,610",47%,27,1.4%,19,0.2%,487,26%,"2,668",35%,,
Kinshasa,Congo Dem. Rep.,Sub-Saharan Africa,-4.374,15.320,8/1/94,9/1/00,7/1/13,"4,226,053","6,379,816","10,226,183",3.7%,"7,878","20,142","33,763",4.0%,"4,550","17,041","30,057",4.4%,"3,168","2,935","3,526",1.4%,160,166,180,0.6%,"6,764","9,064","11,918",2.1%,"14,642","29,206","45,681",3.5%,536,317,303,-0.3%,289,218,224,0.2%,0.54,0.69,0.74,0.5%,0.42,0.25,0.22,-0.9%,0.83,0.85,0.79,-0.6%,0.83,0.84,0.78,-0.6%,"12,263","13,621", 1.1 ,"4,208",34%,"3,648",27%,"7,363",60%,"8,618",63%,0,0.0%,97,0.7%,692,6%,"1,258",9%,,
Kolkata,India,South and Central Asia,22.533,88.356,11/1/90,11/1/03,4/1/14,"9,934,562","13,706,424","15,123,555",0.9%,"18,048","33,576","60,278",5.6%,"11,795","21,902","44,343",6.8%,"5,885","10,997","14,788",2.8%,368,677,"1,147",5.1%,"13,271","26,024","36,590",3.3%,"31,319","59,600","96,868",4.7%,550,408,251,-4.7%,317,230,156,-3.7%,0.58,0.56,0.62,1.0%,0.40,0.39,0.32,-1.9%,0.62,0.64,0.70,0.9%,0.61,0.63,0.70,0.9%,"14,809","24,179", 1.6 ,"4,315",29%,"11,220",46%,"6,491",44%,"6,658",28%,0,0.0%,43,0.2%,"4,003",27%,"6,258",26%,,
Kozhikode,India,South and Central Asia,11.254,75.803,2/1/91,3/1/01,2/1/14,"202,612","440,244","1,171,852",7.6%,217,"1,663","11,232",14.8%,31,769,"5,078",14.6%,166,825,"5,710",15.0%,19,69,445,14.4%,318,"1,653","12,409",15.6%,535,"3,316","23,642",15.2%,936,265,104,-7.2%,379,133,50,-7.6%,0.40,0.50,0.48,-0.4%,0.62,0.48,0.49,0.2%,0.92,0.68,0.64,-0.4%,0.91,0.66,0.64,-0.3%,"1,446","9,569", 6.6 ,211,15%,"1,174",12%,950,66%,"5,177",54%,0,0.0%,0,0.0%,285,20%,"3,218",34%,,
Lagos,Nigeria,Sub-Saharan Africa,6.210,7.063,12/1/84,2/1/00,12/1/13,"3,860,488","7,254,827","11,008,357",3.0%,"19,403","38,082","52,788",2.4%,"15,209","31,291","42,213",2.2%,"3,924","6,358","9,972",3.3%,270,432,603,2.4%,"10,335","19,978","29,896",2.9%,"29,738","58,060","82,684",2.6%,199,191,209,0.7%,130,125,133,0.5%,0.65,0.66,0.64,-0.2%,0.30,0.30,0.30,0.2%,0.76,0.80,0.79,-0.2%,0.75,0.79,0.76,-0.3%,"18,679","14,706", 0.8 ,"3,985",21%,"4,379",30%,"10,363",55%,"5,898",40%,"1,298",7.0%,"2,095",14.2%,"3,033",16%,"2,333",16%,,
Lahore,Pakistan,South and Central Asia,31.514,74.314,11/1/91,10/1/00,10/1/13,"3,474,381","5,716,948","9,682,207",4.1%,"11,518","14,955","24,775",3.9%,"9,136","11,998","20,240",4.0%,"2,225","2,721","4,159",3.3%,158,236,376,3.6%,"6,233","8,201","12,367",3.2%,"17,751","23,156","37,142",3.6%,302,382,391,0.2%,196,247,261,0.4%,0.65,0.65,0.67,0.2%,0.31,0.30,0.28,-0.6%,0.87,0.87,0.86,-0.1%,0.85,0.86,0.84,-0.1%,"3,436","9,820", 2.9 ,919,27%,"2,756",28%,"2,027",59%,"5,779",59%,130,3.8%,0,0.0%,360,10%,"1,285",13%,,
Lausanne,Switzerland,Europe and Japan,46.516,6.633,4/1/87,3/1/01,8/1/15,"193,460","260,181","306,229",1.1%,"2,501","5,289","6,495",1.4%,"1,222","4,017","5,302",1.9%,"1,204","1,191","1,107",-0.5%,75,81,86,0.4%,"2,418","2,719","2,701",0.0%,"4,919","8,008","9,196",1.0%,77,49,47,-0.3%,39,32,33,0.2%,0.51,0.66,0.71,0.5%,0.47,0.33,0.29,-0.9%,0.68,0.74,0.73,-0.1%,0.66,0.72,0.72,0.0%,"2,787","1,206", 0.4 ,"1,217",44%,719,60%,"1,003",36%,159,13%,0,0.0%,7,0.6%,567,20%,321,27%,,
Le Mans,France,Europe and Japan,47.989,0.199,5/1/92,8/1/99,7/1/13,"173,669","175,640","179,135",0.1%,"4,954","5,353","5,974",0.8%,"4,046","4,393","4,788",0.6%,855,889,"1,098",1.5%,53,71,88,1.5%,"2,000","1,988","2,571",1.8%,"6,954","7,341","8,545",1.1%,35,33,30,-0.6%,25,24,21,-0.9%,0.71,0.73,0.70,-0.3%,0.24,0.24,0.25,0.5%,0.83,0.83,0.83,0.0%,0.82,0.81,0.82,0.0%,399,621, 1.6 ,165,41%,144,23%,155,39%,140,23%,4,1.0%,15,2.5%,75,19%,321,52%,,
Leon,Nicaragua,Latin America and the Caribbean,12.438,-86.878,7/1/93,4/1/00,1/1/10,"135,097","141,815","160,355",1.3%,680,"1,199","1,544",2.6%,438,955,"1,220",2.5%,221,225,290,2.6%,21,19,33,5.7%,556,598,711,1.8%,"1,236","1,797","2,255",2.3%,199,118,104,-1.3%,109,79,71,-1.1%,0.55,0.67,0.68,0.3%,0.44,0.29,0.29,-0.2%,0.94,0.93,0.89,-0.4%,0.93,0.92,0.88,-0.5%,519,344, 0.7 ,258,50%,124,36%,211,41%,150,44%,0,0.0%,0,0.0%,50,10%,69,20%,,
"Leshan, Sichuan",China,East Asia and the Pacific,29.591,103.754,7/1/90,7/1/01,8/1/14,"158,519","278,811","524,838",4.8%,"1,061","2,963","8,391",8.0%,646,"1,732","4,909",8.0%,380,"1,160","3,285",8.0%,35,71,196,7.8%,577,"1,872","5,680",8.5%,"1,638","4,836","14,070",8.2%,149,94,63,-3.1%,97,58,37,-3.3%,0.65,0.61,0.60,-0.2%,0.40,0.42,0.41,-0.1%,0.74,0.64,0.71,0.7%,0.74,0.63,0.70,0.8%,"1,902","5,427", 2.9 ,240,13%,992,18%,822,43%,"2,504",46%,0,0.0%,0,0.0%,840,44%,"1,931",36%,,
London,United Kingdom,Europe and Japan,51.506,-0.139,5/1/89,6/1/00,7/1/13,"8,520,935","9,735,667","11,197,941",1.1%,"131,495","167,368","177,273",0.4%,"108,695","141,363","151,304",0.5%,"21,421","24,311","24,261",0.0%,"1,379","1,694","1,708",0.1%,"65,860","75,586","73,498",-0.2%,"197,355","242,954","250,771",0.2%,65,58,63,0.6%,43,40,45,0.8%,0.67,0.69,0.71,0.2%,0.30,0.27,0.25,-0.5%,0.83,0.82,0.82,0.0%,0.80,0.79,0.79,0.0%,"35,875","9,911", 0.3 ,"14,294",40%,"6,537",66%,"5,558",15%,619,6%,177,0.5%,451,4.6%,"15,846",44%,"2,304",23%,,
Los Angeles,United States,Land-Rich Developed Countries,33.971,-117.969,5/1/90,5/1/00,10/1/14,"12,355,295","14,091,412","15,138,973",0.5%,"353,941","417,726","459,047",0.7%,"314,393","378,971","424,453",0.8%,"37,396","36,573","32,733",-0.8%,"2,151","2,182","1,860",-1.1%,"134,324","133,976","126,855",-0.4%,"488,265","551,702","585,902",0.4%,35,34,33,-0.2%,25,26,26,0.1%,0.72,0.76,0.78,0.2%,0.22,0.19,0.17,-0.9%,0.75,0.75,0.74,0.0%,0.73,0.73,0.73,0.0%,"63,789","41,484", 0.7 ,"34,870",55%,"25,570",62%,"15,842",25%,"10,171",25%,61,0.1%,"2,094",5.0%,"13,015",20%,"3,650",9%,,
Luanda,Angola,Sub-Saharan Africa,-8.825,13.260,6/1/91,6/1/00,5/1/14,"1,572,722","2,690,396","5,555,024",5.2%,"10,411","17,175","36,891",5.5%,"8,942","15,187","31,702",5.3%,"1,346","1,877","4,826",6.8%,123,111,363,8.5%,"3,628","6,006","14,076",6.1%,"14,038","23,181","50,967",5.7%,151,157,151,-0.3%,112,116,109,-0.5%,0.74,0.74,0.72,-0.2%,0.21,0.21,0.20,-0.3%,0.77,0.82,0.87,0.4%,0.75,0.80,0.86,0.5%,"6,764","19,715", 2.9 ,"1,492",22%,"3,739",19%,"4,350",64%,"14,717",75%,0,0.0%,0,0.0%,921,14%,"1,259",6%,,
Lubumbashi,Congo Dem. Rep.,Sub-Saharan Africa,-11.677,27.480,7/1/90,9/1/98,8/1/13,"660,736","942,352","1,746,415",4.1%,"5,509","8,435","15,865",4.2%,"4,326","7,426","14,179",4.3%,"1,121",955,"1,560",3.3%,62,55,126,5.6%,"3,137","3,691","6,234",3.5%,"8,645","12,126","22,098",4.0%,120,112,110,-0.1%,76,78,79,0.1%,0.64,0.70,0.72,0.2%,0.31,0.25,0.22,-0.9%,0.93,0.96,0.96,0.0%,0.93,0.96,0.96,0.0%,"2,926","7,429", 2.5 ,"1,061",36%,"1,152",16%,"1,634",56%,"5,954",80%,0,0.0%,0,0.0%,231,8%,323,4%,,
Madrid,Spain,Europe and Japan,40.413,-3.707,5/1/91,6/1/02,5/1/10,"3,641,938","4,337,697","5,256,249",2.4%,"20,632","32,971","56,019",6.7%,"16,073","24,629","44,305",7.4%,"4,242","7,849","10,928",4.2%,318,493,786,5.9%,"11,244","19,580","28,387",4.7%,"31,876","52,551","84,407",6.0%,177,132,94,-4.3%,114,83,62,-3.6%,0.65,0.63,0.66,0.7%,0.31,0.32,0.28,-1.5%,0.72,0.72,0.75,0.5%,0.69,0.69,0.73,0.7%,"12,338","23,048", 1.9 ,"2,884",23%,"8,283",36%,"4,773",39%,"7,934",34%,113,0.9%,18,0.1%,"4,568",37%,"6,812",30%,,
Malatya,Turkey,Western Asia and North Africa,38.350,38.270,8/1/90,7/1/00,3/1/14,"184,773","299,754","394,722",2.0%,"1,922","3,296","5,147",3.3%,"1,105","2,386","3,653",3.1%,756,857,"1,394",3.6%,61,54,100,4.5%,"1,724","2,232","3,397",3.1%,"3,647","5,528","8,544",3.2%,96,91,77,-1.2%,51,54,46,-1.2%,0.53,0.60,0.60,0.1%,0.45,0.38,0.37,-0.2%,0.72,0.69,0.59,-1.2%,0.71,0.68,0.58,-1.2%,"1,374","1,850", 1.3 ,464,34%,468,25%,634,46%,401,22%,0,0.0%,40,2.2%,276,20%,941,51%,,
Malegaon,India,South and Central Asia,20.562,74.520,2/1/91,3/1/00,10/1/14,"253,609","311,046","461,737",2.7%,406,634,"1,432",5.6%,98,240,995,9.8%,281,369,412,0.8%,27,26,25,-0.2%,581,711,"1,094",3.0%,987,"1,345","2,526",4.3%,625,491,322,-2.9%,257,231,183,-1.6%,0.41,0.47,0.57,1.3%,0.59,0.53,0.41,-1.8%,0.83,0.88,0.91,0.2%,0.83,0.88,0.91,0.2%,228,797, 3.5 ,71,31%,214,27%,114,50%,492,62%,0,0.0%,0,0.0%,43,19%,91,11%,,
Manchester,United Kingdom,Europe and Japan,53.470,-2.474,5/1/89,9/1/02,10/1/10,"2,452,873","2,448,232","2,585,614",0.7%,"43,129","49,554","51,040",0.4%,"32,897","39,970","41,675",0.5%,"9,667","9,087","8,841",-0.3%,565,497,525,0.7%,"25,656","27,125","27,656",0.2%,"68,785","76,679","78,696",0.3%,57,49,51,0.3%,36,32,33,0.4%,0.63,0.65,0.65,0.0%,0.35,0.32,0.31,-0.4%,0.82,0.84,0.84,0.1%,0.81,0.83,0.83,0.1%,"6,430","1,485", 0.2 ,"3,730",58%,"1,025",69%,"1,569",24%,272,18%,11,0.2%,10,0.7%,"1,120",17%,178,12%,,
Manila,Philippines,Southeast Asia,14.579,121.028,12/1/90,4/1/00,2/1/14,"9,031,508","13,252,150","19,485,398",2.8%,"35,669","56,296","70,334",1.6%,"27,210","45,972","53,883",1.1%,"7,844","9,615","15,298",3.4%,615,708,"1,154",3.5%,"22,318","27,125","40,077",2.8%,"57,987","83,421","110,411",2.0%,253,235,277,1.2%,156,159,176,0.8%,0.62,0.67,0.64,-0.4%,0.35,0.27,0.30,0.6%,0.74,0.71,0.68,-0.4%,0.72,0.70,0.68,-0.2%,"20,807","14,059", 0.7 ,"9,309",45%,"3,631",26%,"7,427",36%,"5,442",39%,183,0.9%,18,0.1%,"3,888",19%,"4,969",35%,,
Marrakesh,Morocco,Western Asia and North Africa,31.636,-8.021,3/1/88,6/1/02,8/1/14,"371,585","514,030","770,422",3.3%,"3,824","5,447","9,999",5.0%,"3,125","4,735","8,252",4.6%,666,676,"1,622",7.2%,33,37,125,10.1%,"1,340","1,813","4,303",7.1%,"5,164","7,260","14,302",5.6%,97,94,77,-1.7%,72,71,54,-2.2%,0.74,0.75,0.70,-0.6%,0.28,0.22,0.26,1.3%,0.82,0.91,0.71,-2.0%,0.81,0.90,0.70,-2.1%,"1,622","4,551", 2.8 ,404,25%,527,12%,"1,051",65%,"3,312",73%,0,0.0%,1,0.0%,167,10%,711,16%,,
Medan,Indonesia,Southeast Asia,3.596,98.651,6/1/89,6/1/01,6/1/13,"1,214,040","2,863,706","3,771,804",2.3%,"8,062","21,439","39,096",5.0%,"6,012","12,658","28,464",6.8%,"1,877","8,132","9,933",1.7%,174,649,698,0.6%,"5,122","17,449","22,461",2.1%,"13,184","38,888","61,557",3.8%,151,134,96,-2.7%,92,74,61,-1.5%,0.61,0.55,0.64,1.2%,0.31,0.39,0.31,-1.8%,0.88,0.66,0.75,1.1%,0.86,0.64,0.73,1.1%,"13,377","17,657", 1.3 ,"2,564",19%,"7,256",41%,"6,707",50%,"6,363",36%,15,0.1%,18,0.1%,"4,091",31%,"4,019",23%,,
Mexico City,Mexico,Latin America and the Caribbean,19.446,-99.123,3/1/90,2/1/00,4/1/14,"9,781,971","12,514,239","17,765,121",2.5%,"70,948","99,113","161,821",3.5%,"60,525","87,726","144,222",3.5%,"9,765","10,612","16,363",3.1%,658,775,"1,236",3.3%,"32,514","37,363","48,198",1.8%,"103,462","136,477","210,020",3.0%,138,126,110,-1.0%,95,92,85,-0.6%,0.69,0.73,0.77,0.4%,0.25,0.20,0.16,-1.5%,0.87,0.87,0.84,-0.3%,0.85,0.86,0.82,-0.3%,"28,164","62,707", 2.2 ,"12,360",44%,"23,298",37%,"11,733",42%,"30,938",49%,217,0.8%,502,0.8%,"3,854",14%,"7,969",13%,,
Milan,Italy,Europe and Japan,45.608,9.222,9/1/88,8/1/03,8/1/13,"3,506,838","4,971,193","6,402,051",2.5%,"51,115","102,617","178,364",5.5%,"34,810","67,959","136,814",7.0%,"15,125","32,225","38,761",1.8%,"1,180","2,434","2,790",1.4%,"37,302","76,384","98,813",2.6%,"88,417","179,001","277,177",4.4%,69,48,36,-3.0%,40,28,23,-1.8%,0.58,0.57,0.64,1.2%,0.37,0.39,0.31,-2.1%,0.81,0.69,0.77,1.1%,0.80,0.67,0.76,1.2%,"51,502","75,751", 1.5 ,"11,293",22%,"31,516",42%,"11,686",23%,"18,091",24%,542,1.1%,516,0.7%,"27,981",54%,"25,628",34%,,
Minneapolis,United States,Land-Rich Developed Countries,44.959,-93.256,5/1/90,4/1/00,10/1/14,"1,899,162","2,281,581","2,626,920",1.0%,"83,673","117,302","142,874",1.4%,"52,233","81,360","98,968",1.4%,"29,610","33,676","40,846",1.3%,"1,830","2,265","3,060",2.1%,"71,915","89,218","108,383",1.3%,"155,588","206,520","251,256",1.4%,23,19,18,-0.4%,12,11,10,-0.4%,0.54,0.57,0.57,0.0%,0.41,0.38,0.38,0.0%,0.90,0.90,0.88,-0.1%,0.89,0.88,0.87,-0.1%,"33,629","25,571", 0.8 ,"12,915",38%,"9,349",37%,"11,571",34%,"3,375",13%,46,0.1%,"2,200",8.6%,"9,096",27%,"10,646",42%,,
Modesto,United States,Land-Rich Developed Countries,37.649,-120.993,7/1/92,7/1/00,8/1/14,"232,879","334,840","458,146",2.2%,"8,770","14,853","22,728",3.0%,"7,053","12,526","18,630",2.8%,"1,640","2,118","3,773",4.1%,77,209,326,3.2%,"5,167","6,997","10,247",2.7%,"13,937","21,850","32,976",2.9%,27,23,20,-0.8%,17,15,14,-0.7%,0.63,0.68,0.69,0.1%,0.34,0.27,0.25,-0.6%,0.87,0.63,0.67,0.4%,0.86,0.61,0.64,0.3%,"6,083","7,881", 1.3 ,"2,138",35%,"2,481",31%,"1,175",19%,"2,141",27%,0,0.0%,0,0.0%,"2,769",46%,"3,259",41%,,
Montreal,Canada,Land-Rich Developed Countries,45.534,-73.658,8/1/90,9/1/00,8/1/13,"2,719,909","2,870,230","3,317,850",1.1%,"68,677","74,831","89,185",1.4%,"61,308","67,097","81,093",1.5%,"6,970","7,257","7,606",0.4%,399,477,486,0.2%,"21,908","22,730","23,814",0.4%,"90,585","97,561","113,000",1.1%,40,38,37,-0.2%,30,29,29,0.0%,0.76,0.77,0.79,0.2%,0.22,0.21,0.19,-0.7%,0.82,0.82,0.79,-0.2%,0.80,0.80,0.77,-0.4%,"6,153","14,354", 2.3 ,"3,006",49%,"5,903",41%,"1,529",25%,"3,671",26%,241,3.9%,734,5.1%,"1,377",22%,"4,046",28%,,
